Data,PartÌculas < 10 µm,DiÛxido de Azoto,”xidos de Azoto,MonÛxido de Carbono,MonÛxido de Azoto,,
(Hora UTC),µg/m3,µg/m3,µg/m3,mg/m3,µg/m3,,
2017-01-01 00:00:00,69200,52620,179310,548,82630,,
2017-01-01 01:00:00,69700,61350,284710,784,145680,,
2017-01-01 02:00:00,55430,57220,190930,612,87210,,
2017-01-01 03:00:00,52950,37750,93680,378,36480,,
2017-01-01 04:00:00,42740,32840,78680,388,29890,,
2017-01-01 05:00:00,40820,21200,44850,336,15430,,
2017-01-01 06:00:00,37330,19750,43230,354,15310,,
2017-01-01 07:00:00,36670,20070,39260,362,12510,,
2017-01-01 08:00:00,29410,17570,38400,361,13590,,
2017-01-01 09:00:00,28190,16430,41230,349,16180,,
2017-01-01 10:00:00,26490,15050,42010,361,17580,,
2017-01-01 11:00:00,26200,25850,77690,368,33810,,
2017-01-01 12:00:00,22890,29760,97580,279,44230,,
2017-01-01 13:00:00,22260,31400,98500,303,43760,,
2017-01-01 14:00:00,23190,46520,138790,331,60180,,
2017-01-01 15:00:00,23360,49910,186430,390,89040,,
2017-01-01 16:00:00,30210,62190,240120,419,116040,,
2017-01-01 17:00:00,31370,60850,260000,397,129880,,
2017-01-01 18:00:00,34970,64690,280270,452,140600,,
2017-01-01 19:00:00,35590,72180,314620,503,158110,,
2017-01-01 20:00:00,37060,60240,276500,563,141040,,
2017-01-01 21:00:00,37340,59360,239140,468,117260,,
2017-01-01 22:00:00,46350,62200,243740,516,118400,,
2017-01-01 23:00:00,48020,60800,220940,445,104440,,
2017-01-02 00:00:00,41250,46120,114620,436,44680,,
2017-01-02 01:00:00,40110,37040,65020,283,18250,,
2017-01-02 02:00:00,25960,24080,40240,231,10540,,
2017-01-02 03:00:00,23480,19730,29210,202,6180,,
2017-01-02 04:00:00,17920,18420,27910,204,6190,,
2017-01-02 05:00:00,16880,18440,32680,210,9290,,
2017-01-02 06:00:00,22750,21890,40000,215,11810,,
2017-01-02 07:00:00,23850,33630,70180,272,23840,,
2017-01-02 08:00:00,25770,40900,95900,278,35870,,
2017-01-02 09:00:00,26100,57510,156450,325,64530,,
2017-01-02 10:00:00,30910,67640,195090,336,83120,,
2017-01-02 11:00:00,31740,66430,164920,449,64240,,
2017-01-02 12:00:00,30690,67000,192480,348,81840,,
2017-01-02 13:00:00,30490,57080,138200,343,52900,,
2017-01-02 14:00:00,37020,50190,105050,303,35780,,
2017-01-02 15:00:00,38250,59900,127050,323,43800,,
2017-01-02 16:00:00,41870,49720,102470,257,34400,,
2017-01-02 17:00:00,42500,45460,88020,238,27760,,
2017-01-02 18:00:00,43140,52960,98180,229,29490,,
2017-01-02 19:00:00,43250,43810,70170,212,17200,,
2017-01-02 20:00:00,30250,36790,63310,226,17300,,
2017-01-02 21:00:00,27810,20790,28110,167,4780,,
2017-01-02 22:00:00,36700,34880,54460,220,12770,,
2017-01-02 23:00:00,38370,19130,31460,189,8040,,
2017-01-03 00:00:00,39390,15170,19510,213,2830,,
2017-01-03 01:00:00,39570,13190,18230,213,3280,,
2017-01-03 02:00:00,27020,17670,25140,217,4870,,
2017-01-03 03:00:00,24840,13120,18430,228,3460,,
2017-01-03 04:00:00,36970,7210,10420,209,2090,,
2017-01-03 05:00:00,39260,8850,12750,187,2550,,
2017-01-03 06:00:00,47900,16250,20440,184,2740,,
2017-01-03 07:00:00,49510,30050,42010,219,7800,,
2017-01-03 08:00:00,49380,57770,93630,286,23380,,
2017-01-03 09:00:00,49360,54140,89370,288,22980,,
2017-01-03 10:00:00,37760,48180,85930,280,24620,,
2017-01-03 11:00:00,35710,36550,57760,253,13840,,
2017-01-03 12:00:00,48260,23230,34760,265,7520,,
2017-01-03 13:00:00,50620,23060,33220,248,6620,,
2017-01-03 14:00:00,54160,28010,38580,254,6890,,
2017-01-03 15:00:00,54800,27850,39380,228,7520,,
2017-01-03 16:00:00,58160,34530,46810,240,8010,,
2017-01-03 17:00:00,58740,59690,92360,350,21310,,
2017-01-03 18:00:00,60030,75320,130340,451,35880,,
2017-01-03 19:00:00,60270,75780,161890,458,56160,,
2017-01-03 20:00:00,61120,61220,91470,377,19730,,
2017-01-03 21:00:00,61280,45450,62870,336,11370,,
2017-01-03 22:00:00,61500,54740,93220,338,25090,,
2017-01-03 23:00:00,61540,62450,147420,409,55420,,
2017-01-04 00:00:00,51070,64120,190080,,82140,,
2017-01-04 01:00:00,49240,45680,117820,564,47050,,
2017-01-04 02:00:00,41590,32230,73100,351,26650,,
2017-01-04 03:00:00,40150,22930,54820,295,20800,,
2017-01-04 04:00:00,43220,17610,43440,275,16840,,
2017-01-04 05:00:00,43790,21430,53310,259,20790,,
2017-01-04 06:00:00,55450,27030,94930,284,44280,,
2017-01-04 07:00:00,57410,37990,157010,390,77620,,
2017-01-04 08:00:00,58910,49970,244370,522,126790,,
2017-01-04 09:00:00,59170,60980,276830,535,140780,,
2017-01-04 10:00:00,63030,60410,306250,553,160330,,
2017-01-04 11:00:00,63750,58050,256120,576,129180,,
2017-01-04 12:00:00,69780,47630,190650,495,93280,,
2017-01-04 13:00:00,70890,45840,149260,382,67450,,
2017-01-04 14:00:00,75960,53980,160050,406,69180,,
2017-01-04 15:00:00,76810,69900,257780,536,122530,,
2017-01-04 16:00:00,70590,74190,282110,567,135600,,
2017-01-04 17:00:00,69530,87660,353060,719,173090,,
2017-01-04 18:00:00,80080,92620,468290,867,245010,,
2017-01-04 19:00:00,82070,74150,275670,589,131430,,
2017-01-04 20:00:00,70060,55060,187650,407,86470,,
2017-01-04 21:00:00,67830,55120,145070,356,58660,,
2017-01-04 22:00:00,59960,65540,182060,365,75990,,
2017-01-04 23:00:00,58640,65000,230200,441,107740,,
2017-01-05 00:00:00,50690,53810,179130,499,81730,,
2017-01-05 01:00:00,49310,51690,158970,471,69960,,
2017-01-05 02:00:00,33950,48900,105510,363,36920,,
2017-01-05 03:00:00,31060,41490,104490,350,41090,,
2017-01-05 04:00:00,24420,36230,78280,288,27430,,
2017-01-05 05:00:00,23190,28340,63200,268,22730,,
2017-01-05 06:00:00,25650,33410,77100,310,28500,,
2017-01-05 07:00:00,26070,41370,132970,442,59740,,
2017-01-05 08:00:00,31020,37750,215960,532,116230,,
2017-01-05 09:00:00,31900,50690,220900,529,111010,,
2017-01-05 10:00:00,33800,40730,232090,535,124800,,
2017-01-05 11:00:00,34150,54640,252930,557,129330,,
2017-01-05 12:00:00,38670,47210,200450,476,99940,,
2017-01-05 13:00:00,39500,46760,180740,504,87390,,
2017-01-05 14:00:00,38840,54010,205030,557,98490,,
2017-01-05 15:00:00,38730,52860,221420,484,109930,,
2017-01-05 16:00:00,44250,69970,274460,530,133370,,
2017-01-05 17:00:00,45210,70880,284850,595,139550,,
2017-01-05 18:00:00,48800,68890,302160,606,152140,,
2017-01-05 19:00:00,49480,74110,340170,723,173520,,
2017-01-05 20:00:00,51450,66310,311740,795,160070,,
2017-01-05 21:00:00,51820,65410,238860,650,113120,,
2017-01-05 22:00:00,43530,53720,170530,422,76180,,
2017-01-05 23:00:00,42140,48000,163580,441,75380,,
2017-01-06 00:00:00,32560,46970,147750,426,65730,,
2017-01-06 01:00:00,30900,42580,109690,353,43770,,
2017-01-06 02:00:00,24980,28050,63760,302,23290,,
