Data,Ozono,DiÛxido de Azoto,”xidos de Azoto,Benzeno,MonÛxido de Azoto,,
(Hora UTC),µg/m3,µg/m3,µg/m3,µg/m3,µg/m3,,
2017-01-01 00:00:00,34060,9700,11850,,1370,,
2017-01-01 01:00:00,30780,12710,15390,,1780,,
2017-01-01 02:00:00,30960,11190,13240,,1370,,
2017-01-01 03:00:00,30910,9320,11330,,1280,,
2017-01-01 04:00:00,28050,9030,10900,,1180,,
2017-01-01 05:00:00,26560,8370,10420,,1310,,
2017-01-01 06:00:00,25660,7840,9660,,1150,,
2017-01-01 07:00:00,25500,7600,9460,,1180,,
2017-01-01 08:00:00,24440,7500,9850,,1560,,
2017-01-01 09:00:00,24710,6640,9940,,2120,,
2017-01-01 10:00:00,26230,5210,9180,,2590,,
2017-01-01 11:00:00,28250,5070,9130,,2680,,
2017-01-01 12:00:00,30540,5880,10610,,3090,,
2017-01-01 13:00:00,30610,8080,13000,,3150,,
2017-01-01 14:00:00,30300,11570,16630,,3270,,
2017-01-01 15:00:00,32600,10090,14010,,2560,,
2017-01-01 16:00:00,32290,8840,11660,,1840,,
2017-01-01 17:00:00,28870,10950,13670,,1780,,
2017-01-01 18:00:00,24030,14770,18500,,2400,,
2017-01-01 19:00:00,19270,18930,24000,,3300,,
2017-01-01 20:00:00,14800,21800,26340,,2960,,
2017-01-01 21:00:00,11470,24040,28630,,3060,,
2017-01-01 22:00:00,8670,29350,34800,,3550,,
2017-01-01 23:00:00,13440,28540,32700,,2710,,
2017-01-02 00:00:00,25060,22080,24620,,1650,,
2017-01-02 01:00:00,45700,11810,13810,,1280,,
2017-01-02 02:00:00,54370,6170,7790,,1060,,
2017-01-02 03:00:00,54070,5310,6930,,1000,,
2017-01-02 04:00:00,54570,4110,5830,,1090,,
2017-01-02 05:00:00,53240,4880,7070,,1430,,
2017-01-02 06:00:00,54620,6500,9370,,1930,,
2017-01-02 07:00:00,51770,10130,14340,,2710,,
2017-01-02 08:00:00,50410,13380,18590,,3430,,
2017-01-02 09:00:00,46130,18210,24040,,3800,,
2017-01-02 10:00:00,44080,20700,27720,,4610,,
2017-01-02 11:00:00,48060,19170,24660,,3550,,
2017-01-02 12:00:00,54510,13580,18260,,3060,,
2017-01-02 13:00:00,44490,28490,35180,,4430,,
