Data,DiÛxido de Enxofre,PartÌculas < 10 µm,Ozono,DiÛxido de Azoto,”xidos de Azoto,MonÛxido de Azoto,PartÌculas < 2.5 µm,,
(Hora UTC),µg/m3,µg/m3,µg/m3,µg/m3,µg/m3,µg/m3,µg/m3,,
2017-01-01 00:00:00,3700,16650,28710,,,,,,
2017-01-01 01:00:00,6820,17210,29000,,,,,,
2017-01-01 02:00:00,6690,17760,28850,,,,13000,,
2017-01-01 03:00:00,6460,17760,29790,,,,13000,,
2017-01-01 04:00:00,5590,19700,30410,,,,9750,,
2017-01-01 05:00:00,5920,21090,30080,,,,7000,,
2017-01-01 06:00:00,5530,21090,31260,,,,7000,,
2017-01-01 07:00:00,5280,21090,31830,,,,12000,,
2017-01-01 08:00:00,5320,21090,27980,,,,16000,,
2017-01-01 09:00:00,5910,21090,26800,,,,16000,,
2017-01-01 10:00:00,6130,16100,28070,,,,12000,,
2017-01-01 11:00:00,6150,12210,31420,,,,9000,,
2017-01-01 12:00:00,5780,12210,32870,,,,9000,,
2017-01-01 13:00:00,8470,9160,37310,,,,7250,,
2017-01-01 14:00:00,8540,6660,37880,,,,6000,,
2017-01-01 15:00:00,4030,6660,35580,,,,6000,,
2017-01-01 16:00:00,3300,,34360,,,,7000,,
2017-01-01 17:00:00,4260,,33600,,,,8000,,
2017-01-01 18:00:00,3850,,31540,,,,8000,,
2017-01-01 19:00:00,2500,,33590,,,,6500,,
2017-01-01 20:00:00,2030,4440,33860,,,,5000,,
2017-01-01 21:00:00,2020,4440,36330,,,,5000,,
2017-01-01 22:00:00,1170,6940,40900,,,,5500,,
2017-01-01 23:00:00,1290,8880,50940,,,,6000,,
2017-01-02 00:00:00,1910,8880,56090,,,,6000,,
2017-01-02 01:00:00,1350,10270,62010,,,,6000,,
2017-01-02 02:00:00,2390,11100,63990,,,,6000,,
2017-01-02 03:00:00,2910,11100,64120,,,,6000,,
2017-01-02 04:00:00,2360,10550,62220,,,,7500,,
2017-01-02 05:00:00,1380,9990,60040,,,,9000,,
2017-01-02 06:00:00,1570,9990,61430,,,,9000,,
2017-01-02 07:00:00,1160,8050,61910,,,,7750,,
2017-01-02 08:00:00,850,6660,60550,,,,7000,,
2017-01-02 09:00:00,630,6660,59180,,,,7000,,
2017-01-02 10:00:00,1540,9710,58940,,,,6000,,
2017-01-02 11:00:00,2380,12210,59020,,,,5000,,
2017-01-02 12:00:00,2520,12210,59850,,,,5000,,
2017-01-02 13:00:00,4390,13600,60860,,,,5500,,
2017-01-02 14:00:00,5200,14430,62690,,,,6000,,
2017-01-02 15:00:00,4580,14430,63120,,,,6000,,
2017-01-02 16:00:00,4480,14990,64520,,,,8500,,
2017-01-02 17:00:00,4950,15540,67930,,,,11000,,
2017-01-02 18:00:00,4020,15540,69720,,,,11000,,
2017-01-02 19:00:00,4290,15540,72280,,,,9250,,
2017-01-02 20:00:00,4840,15540,77260,,,,8000,,
2017-01-02 21:00:00,5560,15540,72350,,,,8000,,
2017-01-02 22:00:00,4600,16650,72570,,,,7500,,
2017-01-02 23:00:00,,17760,71050,,,,7000,,
2017-01-03 00:00:00,0,17760,66540,,,,7000,,
2017-01-03 01:00:00,10,14710,65070,,,,8250,,
2017-01-03 02:00:00,30,12210,63630,,,,9000,,
2017-01-03 03:00:00,0,12210,63300,,,,9000,,
2017-01-03 04:00:00,0,12210,62180,,,,6750,,
2017-01-03 05:00:00,0,12210,61270,,,,5000,,
2017-01-03 06:00:00,60,12210,61060,,,,5000,,
2017-01-03 07:00:00,40,13320,58020,,,,5500,,
2017-01-03 08:00:00,0,14430,57200,,,,6000,,
