Data,DiÛxido de Enxofre,PartÌculas < 10 µm,Ozono,DiÛxido de Azoto,”xidos de Azoto,MonÛxido de Carbono,Benzeno,MonÛxido de Azoto,PartÌculas < 2.5 µm,,
(Hora UTC),µg/m3,µg/m3,µg/m3,µg/m3,µg/m3,mg/m3,µg/m3,µg/m3,µg/m3,,
2017-01-01 00:00:00,0,47700,17390,29780,35480,394,21,3720,38730,,
2017-01-01 01:00:00,0,43020,11070,37070,45830,447,18,5710,37140,,
2017-01-01 02:00:00,0,40420,16510,27680,34610,392,17,4520,36250,,
2017-01-01 03:00:00,0,33960,18510,22470,26300,371,15,2500,31030,,
2017-01-01 04:00:00,0,30170,14260,24280,28410,357,18,2690,28070,,
2017-01-01 05:00:00,50,29860,19810,15380,19190,293,13,2480,27880,,
2017-01-01 06:00:00,0,29680,17620,16770,21030,287,11,2780,27770,,
2017-01-01 07:00:00,0,33500,12660,21730,27090,307,14,3500,27630,,
2017-01-01 08:00:00,0,35690,20620,13370,17200,255,12,2500,27550,,
2017-01-01 09:00:00,40,29570,19420,14470,22340,255,9,5130,24960,,
2017-01-01 10:00:00,20,26190,21510,12150,21240,258,9,5930,23460,,
2017-01-01 11:00:00,110,22530,20610,14720,26320,273,9,7560,21420,,
2017-01-01 12:00:00,0,20490,22810,17820,35040,290,11,11230,20280,,
2017-01-01 13:00:00,80,22350,20490,23340,40410,310,11,11130,18830,,
2017-01-01 14:00:00,340,23430,20260,27930,45120,322,13,11210,18030,,
2017-01-01 15:00:00,990,25630,13460,35840,63250,374,15,17870,17780,,
2017-01-01 16:00:00,760,26900,15650,32310,51980,334,15,12830,17640,,
2017-01-01 17:00:00,340,26560,11020,35280,49850,348,14,9500,19240,,
2017-01-01 18:00:00,30,26370,8010,38590,57240,354,15,12160,20180,,
2017-01-01 19:00:00,0,29180,4560,42660,65390,397,16,14820,21800,,
2017-01-01 20:00:00,0,30750,2320,43100,72970,458,19,19480,22760,,
2017-01-01 21:00:00,0,28330,1230,47140,117510,589,22,45900,26430,,
2017-01-01 22:00:00,0,26910,2010,43600,87600,554,23,28690,28580,,
2017-01-01 23:00:00,0,30370,3830,48530,95770,560,26,30810,22900,,
2017-01-02 00:00:00,0,32400,14300,38650,58320,409,21,12830,19690,,
2017-01-02 01:00:00,200,27690,27880,28390,38570,319,14,6640,19390,,
2017-01-02 02:00:00,1260,24960,36350,20720,27020,232,9,4110,19230,,
2017-01-02 03:00:00,2080,20720,43360,10720,14150,209,7,2240,17250,,
2017-01-02 04:00:00,3310,18380,46330,7670,13670,194,5,3910,16130,,
2017-01-02 05:00:00,,19920,44590,8670,15220,206,7,4270,12750,,
2017-01-02 06:00:00,,20780,42330,14160,25580,218,9,7450,10820,,
2017-01-02 07:00:00,,22980,36790,22340,42400,247,9,13080,14510,,
2017-01-02 08:00:00,,24260,34220,31130,56900,276,9,16810,16680,,
2017-01-02 09:00:00,,25280,33160,31840,57180,281,9,16530,16390,,
2017-01-02 10:00:00,,25880,31840,32840,59750,281,10,17550,16220,,
2017-01-02 11:00:00,,24410,29830,38170,61490,293,10,15210,19990,,
2017-01-02 12:00:00,0,23600,30580,42410,71040,316,12,18670,22190,,
2017-01-02 13:00:00,0,31840,28260,50400,78850,325,12,18560,19940,,
2017-01-02 14:00:00,0,36430,27570,58740,94320,319,12,23200,18690,,
2017-01-02 15:00:00,0,35250,29300,52300,89560,319,12,24300,18940,,
2017-01-02 16:00:00,100,34560,29860,54270,95470,313,10,26870,19080,,
2017-01-02 17:00:00,0,37560,29880,56380,99600,325,11,28190,24400,,
2017-01-02 18:00:00,240,39310,33150,52210,91480,322,10,25610,27410,,
2017-01-02 19:00:00,260,37730,38350,45930,78030,313,11,20940,23720,,
2017-01-02 20:00:00,440,36810,41620,40490,63950,287,10,15300,21550,,
2017-01-02 21:00:00,1170,33580,53180,26220,37940,238,8,7640,21320,,
2017-01-02 22:00:00,1960,31790,46430,31270,49390,264,7,11810,21180,,
2017-01-02 23:00:00,2570,37780,54290,21490,33460,218,7,7810,22520,,
2017-01-03 00:00:00,0,41140,59810,16040,23950,200,5,5160,23300,,
2017-01-03 01:00:00,0,37940,59710,14860,22390,194,5,4910,23460,,
2017-01-03 02:00:00,210,36080,47540,18860,26170,189,3,4770,23540,,
2017-01-03 03:00:00,0,33720,44470,20120,23760,186,4,2370,20160,,
2017-01-03 04:00:00,400,32350,64150,9740,14530,162,4,3130,18280,,
2017-01-03 05:00:00,1820,35620,63050,9640,16360,171,3,4390,17060,,
2017-01-03 06:00:00,1860,37410,59030,15800,24100,183,3,5410,16370,,
2017-01-03 07:00:00,2640,48150,39400,42000,77950,273,4,23450,22020,,
