Data,DiÛxido de Enxofre,PartÌculas < 10 µm,Ozono,DiÛxido de Azoto,”xidos de Azoto,MonÛxido de Azoto,,
(Hora UTC),µg/m3,µg/m3,µg/m3,µg/m3,µg/m3,µg/m3,,
2017-01-01 00:00:00,,42680,19050,15170,20390,3410,,
2017-01-01 01:00:00,,42130,20900,12730,14340,1060,,
2017-01-01 02:00:00,,41950,18850,13190,16570,2200,,
2017-01-01 03:00:00,,41940,21950,10620,12280,1080,,
2017-01-01 04:00:00,,38410,20500,9610,11390,1160,,
2017-01-01 05:00:00,,38260,19200,7180,10850,2390,,
2017-01-01 06:00:00,,30760,17000,8700,10410,1120,,
2017-01-01 07:00:00,,30530,15200,8900,12860,2580,,
2017-01-01 08:00:00,,27290,16050,6800,8800,1310,,
2017-01-01 09:00:00,,27170,18200,5910,9900,2610,,
2017-01-01 10:00:00,,24810,19950,4880,8320,2250,,
2017-01-01 11:00:00,,24720,21100,6280,11550,3440,,
2017-01-01 12:00:00,290,18530,24000,5150,8750,2350,,
2017-01-01 13:00:00,440,18250,25800,6750,10920,2720,,
2017-01-01 14:00:00,540,18880,29250,4450,6150,1110,,
2017-01-01 15:00:00,450,18900,29550,5160,9110,2580,,
2017-01-01 16:00:00,320,27050,28700,6040,8380,1520,,
2017-01-01 17:00:00,350,27300,25400,9550,12310,1800,,
2017-01-01 18:00:00,320,26790,21600,9490,11090,1040,,
2017-01-01 19:00:00,350,26770,19050,10220,14160,2570,,
2017-01-01 20:00:00,410,36300,10350,17870,22640,3110,,
2017-01-01 21:00:00,530,36750,3400,24310,38070,8970,,
2017-01-01 22:00:00,540,34820,3950,25630,36410,7030,,
2017-01-01 23:00:00,580,34730,24400,22370,26960,3000,,
2017-01-02 00:00:00,480,22150,46700,8770,10060,840,,
2017-01-02 01:00:00,420,21610,59950,4170,5030,560,,
2017-01-02 02:00:00,380,17980,55150,4390,5200,530,,
2017-01-02 03:00:00,430,17870,49850,5520,6340,540,,
2017-01-02 04:00:00,340,17710,48000,4800,5770,630,,
2017-01-02 05:00:00,280,17710,46450,6650,8010,890,,
2017-01-02 06:00:00,280,21890,51500,8410,9790,900,,
2017-01-02 07:00:00,130,22080,47250,11490,13100,1050,,
2017-01-02 08:00:00,,19370,49650,10050,11490,940,,
2017-01-02 09:00:00,,19240,46800,13060,15510,1600,,
2017-01-02 10:00:00,,26970,49850,12920,15890,1940,,
2017-01-02 11:00:00,,27310,55100,12240,14280,1330,,
2017-01-02 12:00:00,,25840,59000,11510,13680,1420,,
2017-01-02 13:00:00,,25790,61850,11350,13670,1510,,
2017-01-02 14:00:00,,25660,64250,11490,13600,1370,,
2017-01-02 15:00:00,,25650,65850,10190,11680,970,,
2017-01-02 16:00:00,,30430,64150,10680,11840,760,,
2017-01-02 17:00:00,,30640,65700,10130,11630,980,,
2017-01-02 18:00:00,,35100,65150,9800,11820,1320,,
2017-01-02 19:00:00,,35310,67800,8140,9380,810,,
2017-01-02 20:00:00,,24330,66200,8310,10230,1250,,
2017-01-02 21:00:00,,23860,67000,6740,7870,730,,
2017-01-02 22:00:00,,34830,66900,5730,6980,820,,
2017-01-02 23:00:00,,35170,70850,3510,4400,580,,
2017-01-03 00:00:00,,36190,71850,2810,2970,110,,
2017-01-03 01:00:00,,36230,69100,2960,3240,190,,
2017-01-03 02:00:00,,34700,62550,3320,3780,300,,
2017-01-03 03:00:00,,34630,64250,2450,3300,560,,
2017-01-03 04:00:00,,33170,68750,2660,3170,330,,
2017-01-03 05:00:00,220,33100,66850,6330,7170,550,,
2017-01-03 06:00:00,120,37320,64850,7340,9630,1490,,
2017-01-03 07:00:00,650,37450,58300,14860,19040,2730,,
2017-01-03 08:00:00,740,43600,52350,24140,40700,10800,,
2017-01-03 09:00:00,720,43810,51300,21470,30780,6070,,
2017-01-03 10:00:00,680,33510,55400,16590,23030,4200,,
2017-01-03 11:00:00,850,33170,57600,16750,26360,6270,,
2017-01-03 12:00:00,920,43130,63600,13180,20590,4830,,
2017-01-03 13:00:00,870,43590,56650,17080,32800,10250,,
2017-01-03 14:00:00,860,46110,58850,12760,20290,4910,,
2017-01-03 15:00:00,1010,46220,60850,12850,21770,5820,,
2017-01-03 16:00:00,1100,45510,54400,17390,26780,6130,,
2017-01-03 17:00:00,1220,45490,39950,31340,46180,9680,,
2017-01-03 18:00:00,1030,62060,22800,49560,59340,6380,,
2017-01-03 19:00:00,820,62640,41950,31470,37710,4070,,
2017-01-03 20:00:00,960,47350,49800,20930,25970,3280,,
2017-01-03 21:00:00,980,46820,50400,17280,22480,3390,,
2017-01-03 22:00:00,930,46940,53500,15390,19140,2440,,
2017-01-03 23:00:00,800,46950,57300,8870,10760,1240,,
2017-01-04 00:00:00,810,37910,47300,10640,12630,1300,,
2017-01-04 01:00:00,720,37510,16750,7960,10830,1870,,
2017-01-04 02:00:00,780,33320,17850,5330,6230,590,,
2017-01-04 03:00:00,940,33190,15900,6080,7690,1050,,
2017-01-04 04:00:00,810,25920,21050,8090,8760,440,,
2017-01-04 05:00:00,800,25660,18300,9920,10980,690,,
2017-01-04 06:00:00,810,28940,11250,15530,18660,2040,,
2017-01-04 07:00:00,230,29100,3150,26250,57740,20540,,
2017-01-04 08:00:00,580,26600,2500,35020,119370,55010,,
2017-01-04 09:00:00,390,26490,6150,31570,84090,34260,,
2017-01-04 10:00:00,160,35760,13650,21590,46420,16200,,
2017-01-04 11:00:00,100,36160,21750,17210,33830,10840,,
2017-01-04 12:00:00,,29280,23650,11990,22060,6570,,
2017-01-04 13:00:00,,29070,25900,15480,24510,5890,,
2017-01-04 14:00:00,,35270,25850,15170,23330,5320,,
2017-01-04 15:00:00,,35480,26550,14540,20410,3830,,
2017-01-04 16:00:00,,44350,24350,19090,30500,7440,,
2017-01-04 17:00:00,740,44760,7150,39300,73070,22030,,
2017-01-04 18:00:00,900,66040,2550,48920,149000,65270,,
2017-01-04 19:00:00,1090,67000,4550,48750,208620,104260,,
2017-01-04 20:00:00,380,49770,6150,38570,69660,20280,,
2017-01-04 21:00:00,120,49010,19750,25220,27360,1400,,
2017-01-04 22:00:00,30,38930,25700,23730,27680,2570,,
2017-01-04 23:00:00,140,38590,7600,34480,42290,5100,,
2017-01-05 00:00:00,170,25130,2050,38250,52950,9580,,
2017-01-05 01:00:00,120,24660,2900,35810,48580,8330,,
2017-01-05 02:00:00,60,18080,15600,19820,21000,770,,
2017-01-05 03:00:00,,17780,20700,14200,17450,2120,,
2017-01-05 04:00:00,,9990,10050,18700,19790,710,,
2017-01-05 05:00:00,,9640,28150,10200,11260,690,,
2017-01-05 06:00:00,,9070,31350,11460,12560,720,,
2017-01-05 07:00:00,560,9040,23250,11910,14810,1890,,
2017-01-05 08:00:00,580,4780,13000,17530,27280,6360,,
2017-01-05 09:00:00,480,4650,19300,19260,29500,6680,,
2017-01-05 10:00:00,400,9720,26750,19450,28090,5640,,
2017-01-05 11:00:00,360,9900,31600,13330,19110,3770,,
2017-01-05 12:00:00,290,13950,29200,14700,21600,4500,,
2017-01-05 13:00:00,330,14130,31600,14010,21140,4650,,
2017-01-05 14:00:00,430,15910,32100,12380,18000,3670,,
2017-01-05 15:00:00,350,15990,32800,11420,16650,3410,,
2017-01-05 16:00:00,420,18350,30450,12610,19320,4380,,
2017-01-05 17:00:00,340,18420,18250,24040,32240,5350,,
2017-01-05 18:00:00,530,22230,22900,14630,20060,3540,,
2017-01-05 19:00:00,320,22350,23750,13880,17460,2340,,
2017-01-05 20:00:00,330,11790,22900,16080,20520,2890,,
2017-01-05 21:00:00,320,11440,19150,15630,17660,1320,,
2017-01-05 22:00:00,360,16030,16300,12480,17410,3220,,
2017-01-05 23:00:00,260,16240,19950,9210,11940,1780,,
2017-01-06 00:00:00,170,12490,22000,9890,10770,570,,
2017-01-06 01:00:00,230,12330,20750,10350,12800,1590,,
2017-01-06 02:00:00,340,13170,19650,10870,12810,1260,,
2017-01-06 03:00:00,270,13200,17500,9380,12370,1950,,
2017-01-06 04:00:00,210,7480,19750,5600,6450,560,,
2017-01-06 05:00:00,260,7280,24850,4440,6890,1590,,
2017-01-06 06:00:00,230,4310,24200,7340,8860,990,,
2017-01-06 07:00:00,480,4210,29100,5450,8330,1880,,
2017-01-06 08:00:00,560,10130,26100,10650,15150,2940,,
2017-01-06 09:00:00,440,10400,23750,9130,14840,3720,,
2017-01-06 10:00:00,420,11840,20800,8250,14600,4140,,
2017-01-06 11:00:00,620,11900,20650,11570,19710,5310,,
2017-01-06 12:00:00,500,13080,22350,11860,19650,5080,,
2017-01-06 13:00:00,430,13120,30100,8860,14840,3900,,
2017-01-06 14:00:00,420,15260,30650,10780,19320,5570,,
2017-01-06 15:00:00,370,15330,30400,11740,18900,4670,,
2017-01-06 16:00:00,570,13200,28100,18850,25570,4380,,
2017-01-06 17:00:00,680,13100,17800,31620,41310,6310,,
2017-01-06 18:00:00,480,18870,8050,40140,51010,7090,,
2017-01-06 19:00:00,560,19130,5850,42100,63390,13890,,
2017-01-06 20:00:00,900,28830,3200,43270,88800,29700,,
2017-01-06 21:00:00,650,29260,3050,38530,72790,22340,,
2017-01-06 22:00:00,550,22510,6700,29380,41460,7880,,
2017-01-06 23:00:00,390,22290,25250,10600,12270,1090,,
2017-01-07 00:00:00,610,23300,32950,6840,10840,2610,,
2017-01-07 01:00:00,520,23340,27000,9730,12540,1830,,
2017-01-07 02:00:00,350,15510,16950,18610,21740,2040,,
2017-01-07 03:00:00,530,15160,19850,13120,16840,2430,,
2017-01-07 04:00:00,460,24520,17850,13980,14830,550,,
2017-01-07 05:00:00,200,24950,17800,13240,16000,1800,,
2017-01-07 06:00:00,170,31050,16700,12170,13920,1140,,
2017-01-07 07:00:00,,31330,15100,13000,16130,2040,,
2017-01-07 08:00:00,,22160,15150,14330,21010,4360,,
2017-01-07 09:00:00,,21870,23050,8320,15030,4380,,
2017-01-07 10:00:00,270,15370,30550,5410,9520,2680,,
2017-01-07 11:00:00,370,15140,32600,6230,11820,3640,,
2017-01-07 12:00:00,440,11540,34750,6750,11310,2970,,
2017-01-07 13:00:00,600,11370,38550,9880,16090,4050,,
2017-01-07 14:00:00,860,17380,42400,9000,13890,3180,,
2017-01-07 15:00:00,760,17650,46350,10280,14200,2560,,
2017-01-07 16:00:00,800,24320,46450,10310,12680,1550,,
2017-01-07 17:00:00,870,24590,30850,23740,26050,1510,,
2017-01-07 18:00:00,610,31480,19850,32650,35210,1670,,
2017-01-07 19:00:00,710,31690,9150,43590,83380,25950,,
2017-01-07 20:00:00,1050,45050,3900,50160,140180,58710,,
2017-01-07 21:00:00,1300,45530,5500,47700,150110,66790,,
2017-01-07 22:00:00,1870,68670,5850,44380,241550,128590,,
2017-01-07 23:00:00,1470,69730,5650,37410,135910,64240,,
2017-01-08 00:00:00,660,45550,7750,29630,37590,5190,,
2017-01-08 01:00:00,440,44480,13550,24500,28990,2930,,
2017-01-08 02:00:00,600,54400,9850,26700,33660,4540,,
2017-01-08 03:00:00,500,54700,13100,16650,20690,2640,,
2017-01-08 04:00:00,290,46360,11500,15130,17440,1510,,
2017-01-08 05:00:00,180,46070,8650,20140,29280,5970,,
2017-01-08 06:00:00,,43270,9300,21010,28010,4560,,
2017-01-08 07:00:00,,43180,14100,15190,19240,2640,,
2017-01-08 08:00:00,,35000,16750,13670,19720,3950,,
2017-01-08 09:00:00,,34630,23250,10000,16130,4000,,
2017-01-08 10:00:00,,28460,35100,4370,8380,2610,,
2017-01-08 11:00:00,,28180,37900,3830,6370,1660,,
2017-01-08 12:00:00,,18380,41950,3900,7670,2460,,
2017-01-08 13:00:00,,18090,48550,9260,13650,2860,,
2017-01-08 14:00:00,,15430,57600,6190,8620,1580,,
2017-01-08 15:00:00,,15340,64700,4840,8220,2210,,
2017-01-08 16:00:00,,17930,60800,7510,8380,560,,
2017-01-08 17:00:00,,18020,42700,20610,22680,1350,,
2017-01-08 18:00:00,,39650,34650,27420,29690,1480,,
2017-01-08 19:00:00,,40640,11150,43710,54370,6960,,
2017-01-08 20:00:00,,40180,7550,48060,56670,5620,,
2017-01-08 21:00:00,,40160,9350,46310,51050,3090,,
2017-01-08 22:00:00,,60410,7300,40950,91490,32960,,
2017-01-08 23:00:00,,61030,8550,37070,120580,54460,,
2017-01-09 00:00:00,,71920,5650,33060,79090,30020,,
2017-01-09 01:00:00,,72310,4150,33210,65660,21160,,
2017-01-09 02:00:00,,65630,4950,29550,38320,5720,,
2017-01-09 03:00:00,,65310,7600,24350,28010,2390,,
2017-01-09 04:00:00,,48090,5150,21110,25700,2990,,
2017-01-09 05:00:00,,47310,7100,18170,23660,3580,,
2017-01-09 06:00:00,,46690,6700,30160,40730,6890,,
2017-01-09 07:00:00,,46660,5150,42220,69520,17800,,
2017-01-09 08:00:00,,50410,5000,48120,123980,49480,,
2017-01-09 09:00:00,,50530,15350,29730,62180,21160,,
2017-01-09 10:00:00,,42190,24200,23110,42540,12670,,
2017-01-09 11:00:00,,41900,39900,16690,29930,8640,,
2017-01-09 12:00:00,,31390,47450,14480,22700,5360,,
2017-01-09 13:00:00,,30910,46100,18050,28350,6720,,
2017-01-09 14:00:00,,34450,41950,24050,37220,8590,,
2017-01-09 15:00:00,,34610,38950,26820,39760,8440,,
2017-01-09 16:00:00,,46640,32450,32380,53030,13470,,
2017-01-09 17:00:00,,47170,4500,69810,199260,84420,,
2017-01-09 18:00:00,,44150,3300,82380,335330,164970,,
2017-01-09 19:00:00,,44050,21250,49060,63180,9210,,
2017-01-09 20:00:00,,33720,46550,23430,25480,1340,,
2017-01-09 21:00:00,,33370,48550,24970,26600,1060,,
2017-01-09 22:00:00,,27230,50550,21980,23910,1260,,
2017-01-09 23:00:00,,26950,45550,24400,26790,1560,,
2017-01-10 00:00:00,,26000,30600,35530,45170,6290,,
2017-01-10 01:00:00,,25960,62750,9750,10470,470,,
2017-01-10 02:00:00,,20650,70500,4620,5180,370,,
2017-01-10 03:00:00,,20430,64900,4920,6130,780,,
2017-01-10 04:00:00,,17850,63850,5590,5970,250,,
2017-01-10 05:00:00,,17780,60650,6000,6290,180,,
2017-01-10 06:00:00,,21670,49300,9270,10890,1060,,
2017-01-10 07:00:00,260,21810,44700,14920,17180,1480,,
2017-01-10 08:00:00,390,17950,42700,26010,35420,6140,,
2017-01-10 09:00:00,400,17770,54550,16510,20220,2420,,
2017-01-10 10:00:00,500,15410,60600,13530,18360,3150,,
2017-01-10 11:00:00,600,15310,61650,12500,16170,2390,,
2017-01-10 12:00:00,670,18810,62450,10330,15040,3070,,
2017-01-10 13:00:00,570,18920,64450,8590,10980,1560,,
2017-01-10 14:00:00,570,12740,66200,10510,12920,1570,,
2017-01-10 15:00:00,570,12540,71950,8910,11160,1470,,
2017-01-10 16:00:00,480,17360,71100,8820,10560,1130,,
2017-01-10 17:00:00,660,17520,67000,9750,11990,1470,,
2017-01-10 18:00:00,450,17660,67400,8710,9750,680,,
2017-01-10 19:00:00,220,17670,69300,8050,9830,1160,,
2017-01-10 20:00:00,280,12440,70750,6010,6830,530,,
2017-01-10 21:00:00,400,12200,68900,6100,6930,540,,
2017-01-10 22:00:00,450,7660,67250,6580,7400,530,,
2017-01-10 23:00:00,280,7520,66150,6800,7190,250,,
2017-01-11 00:00:00,380,10770,66550,6990,7350,230,,
2017-01-11 01:00:00,360,10880,65050,7160,7800,420,,
2017-01-11 02:00:00,470,8100,65950,4470,6340,1220,,
2017-01-11 03:00:00,240,8000,66050,3540,4340,520,,
2017-01-11 04:00:00,410,15150,60950,4050,6160,1370,,
2017-01-11 05:00:00,410,15470,54350,6080,6390,200,,
2017-01-11 06:00:00,470,16940,55400,8860,9480,400,,
2017-01-11 07:00:00,160,17010,44250,18250,20290,1330,,
2017-01-11 08:00:00,400,16290,37300,26500,35290,5730,,
2017-01-11 09:00:00,390,16270,31550,30030,43040,8480,,
2017-01-11 10:00:00,590,18450,,20540,33690,8580,,
2017-01-11 11:00:00,690,18520,,11100,19320,5360,,
2017-01-11 12:00:00,,12650,41200,11030,18920,5140,,
2017-01-11 13:00:00,1670,12380,46400,12450,21650,6000,,
2017-01-11 14:00:00,1770,15420,49600,,,,,
2017-01-11 15:00:00,1480,15560,50000,18420,24850,4190,,
2017-01-11 16:00:00,1560,27730,30900,41340,69530,18390,,
2017-01-11 17:00:00,1450,28280,5400,68970,122410,34860,,
2017-01-11 18:00:00,1340,42040,2450,73480,206550,86790,,
2017-01-11 19:00:00,1160,42490,2850,78250,172680,61590,,
2017-01-11 20:00:00,1630,53970,3750,81280,273930,125650,,
2017-01-11 21:00:00,1660,54380,5800,67810,237890,110920,,
2017-01-11 22:00:00,1910,65210,6500,65200,261390,127950,,
2017-01-11 23:00:00,1570,65710,5050,52000,200260,96700,,
2017-01-12 00:00:00,1500,63070,4200,42130,165280,80320,,
2017-01-12 01:00:00,1020,62950,3350,39490,108220,44830,,
2017-01-12 02:00:00,720,52170,1950,39590,63450,15560,,
2017-01-12 03:00:00,590,51700,2100,36670,60510,15550,,
2017-01-12 04:00:00,510,27530,2500,29530,40350,7050,,
2017-01-12 05:00:00,530,26780,4000,22610,26640,2630,,
2017-01-12 06:00:00,500,19590,6050,16410,20000,2340,,
2017-01-12 07:00:00,410,19330,7400,17510,21900,2860,,
2017-01-12 08:00:00,600,15380,6050,23510,47020,15330,,
2017-01-12 09:00:00,480,15200,8900,22720,42670,13010,,
2017-01-12 10:00:00,570,20370,6450,23740,46320,14720,,
2017-01-12 11:00:00,570,20610,8950,18220,42480,15820,,
2017-01-12 12:00:00,570,24180,8300,25030,67160,27480,,
2017-01-12 13:00:00,610,24300,10850,28110,68780,26520,,
2017-01-12 14:00:00,600,25680,9700,32220,63010,20080,,
2017-01-12 15:00:00,630,25720,14400,28060,51550,15320,,
