Data,DiÛxido de Enxofre,PartÌculas < 10 µm,Ozono,DiÛxido de Azoto,”xidos de Azoto,MonÛxido de Azoto,PartÌculas < 2.5 µm,,
(Hora UTC),µg/m3,µg/m3,µg/m3,µg/m3,µg/m3,µg/m3,µg/m3,,
2017-01-01 00:00:00,0,15540,35020,4000,4828,540,11000,,
2017-01-01 01:00:00,0,23590,19440,4680,5523,550,12500,,
2017-01-01 02:00:00,0,25530,12570,5600,6321,470,13000,,
2017-01-01 03:00:00,0,29140,21570,4460,5242,510,11250,,
2017-01-01 04:00:00,0,29970,27020,3240,3991,490,11000,,
2017-01-01 05:00:00,0,21920,23700,3150,3671,340,,,
2017-01-01 06:00:00,0,19980,22920,2660,3411,490,,,
2017-01-01 07:00:00,0,17210,17520,2720,3180,300,13000,,
2017-01-01 08:00:00,0,16650,14140,2750,3317,370,13000,,
2017-01-01 09:00:00,0,,15850,2230,3334,720,12250,,
2017-01-01 10:00:00,0,,25260,2860,3995,740,12000,,
2017-01-01 11:00:00,0,5550,54620,4090,5271,770,,,
2017-01-01 12:00:00,3550,5550,65880,3370,4305,610,,,
2017-01-01 13:00:00,3330,5550,69080,2920,3503,380,5000,,
2017-01-01 14:00:00,2000,5550,71960,3000,3797,520,5000,,
2017-01-01 15:00:00,2660,14710,69450,4350,5147,520,5750,,
2017-01-01 16:00:00,5320,16650,65480,4870,5575,460,6000,,
2017-01-01 17:00:00,6650,15820,54960,9290,10486,780,8500,,
2017-01-01 18:00:00,5320,15540,50780,9060,10133,700,9000,,
2017-01-01 19:00:00,5320,11100,54080,5980,6701,470,6500,,
2017-01-01 20:00:00,6650,9990,53050,5090,5872,510,6000,,
2017-01-01 21:00:00,6650,12770,57620,5200,5691,320,5250,,
2017-01-01 22:00:00,5990,13320,59980,3420,4141,470,5000,,
2017-01-01 23:00:00,7980,15260,64050,3590,3943,230,4250,,
2017-01-02 00:00:00,0,15540,66610,2890,3304,270,4000,,
2017-01-02 01:00:00,0,11100,65850,2930,3252,210,4000,,
2017-01-02 02:00:00,0,9990,62610,2650,3601,620,4000,,
2017-01-02 03:00:00,0,15540,60470,3030,3643,400,8750,,
2017-01-02 04:00:00,0,16650,58970,3280,4062,510,10000,,
2017-01-02 05:00:00,0,16650,58580,3740,4231,320,6750,,
2017-01-02 06:00:00,0,16650,61780,4280,4909,410,6000,,
2017-01-02 07:00:00,0,18590,63830,4590,5694,720,9250,,
2017-01-02 08:00:00,0,18870,62510,4490,5333,550,10000,,
2017-01-02 09:00:00,0,11930,64130,4170,4967,520,10000,,
2017-01-02 10:00:00,0,9990,62950,4290,4965,440,10000,,
2017-01-02 11:00:00,0,14430,61050,4540,5506,630,8250,,
2017-01-02 12:00:00,0,15540,61910,4460,5503,680,8000,,
2017-01-02 13:00:00,670,14430,68860,4770,5230,300,7250,,
2017-01-02 14:00:00,1330,14430,70140,4560,5388,540,7000,,
2017-01-02 15:00:00,2000,19700,68500,5180,5839,430,15250,,
2017-01-02 16:00:00,670,21090,67290,5630,6366,480,17000,,
2017-01-02 17:00:00,1330,19150,68660,5010,5715,460,11250,,
2017-01-02 18:00:00,2660,18870,69150,5390,6095,460,10000,,
2017-01-02 19:00:00,670,20810,71310,5960,6681,470,10000,,
2017-01-02 20:00:00,2000,21090,70170,4890,5641,490,10000,,
2017-01-02 21:00:00,1330,22760,67950,4140,4830,450,13000,,
2017-01-02 22:00:00,670,23310,66120,3940,4891,620,14000,,
2017-01-02 23:00:00,2000,18870,64820,3480,3925,290,11500,,
2017-01-03 00:00:00,0,17760,62710,3490,3981,320,11000,,
2017-01-03 01:00:00,0,16100,60390,3660,3875,140,7750,,
2017-01-03 02:00:00,1330,15540,62600,2840,3254,270,7000,,
2017-01-03 03:00:00,1330,18320,60860,2810,3040,150,7000,,
2017-01-03 04:00:00,670,18870,60150,2220,2941,470,7000,,
2017-01-03 05:00:00,0,18870,57890,2920,3257,220,12000,,
2017-01-03 06:00:00,670,18870,54780,3720,4333,400,13000,,
2017-01-03 07:00:00,0,20540,51310,5240,6681,940,11500,,
2017-01-03 08:00:00,1330,21090,47160,5540,7625,1360,11000,,
2017-01-03 09:00:00,670,13320,48270,4030,4766,480,7750,,
2017-01-03 10:00:00,670,11100,47930,4680,7210,1650,7000,,
2017-01-03 11:00:00,0,13880,46230,5980,7391,920,9500,,
