Data,DiÛxido de Enxofre,PartÌculas < 10 µm,DiÛxido de Azoto,”xidos de Azoto,MonÛxido de Azoto,,
(Hora UTC),µg/m3,µg/m3,µg/m3,µg/m3,µg/m3,,
2017-01-01 00:00:00,,41070,10110,12517,1570,,
2017-01-01 01:00:00,,33300,9740,12224,1620,,
2017-01-01 02:00:00,,31080,9690,11131,940,,
2017-01-01 03:00:00,,26640,7680,8861,770,,
2017-01-01 04:00:00,,25530,7100,8419,860,,
2017-01-01 05:00:00,,21920,7120,8055,610,,
2017-01-01 06:00:00,,21090,6040,7221,770,,
2017-01-01 07:00:00,,22760,6280,7537,820,,
2017-01-01 08:00:00,,23310,6080,7889,1180,,
2017-01-01 09:00:00,,23310,6250,10344,2670,,
2017-01-01 10:00:00,,23310,4450,8835,2860,,
2017-01-01 11:00:00,,15260,4990,9268,2790,,
2017-01-01 12:00:00,,13320,5430,9355,2560,,
2017-01-01 13:00:00,,14990,5760,10115,2840,,
2017-01-01 14:00:00,,15540,5680,9268,2340,,
2017-01-01 15:00:00,,16370,6030,8959,1910,,
2017-01-01 16:00:00,,16650,7450,11375,2560,,
2017-01-01 17:00:00,,23030,8740,12144,2220,,
2017-01-01 18:00:00,,24420,10390,13196,1830,,
2017-01-01 19:00:00,,28860,13160,16717,2320,,
2017-01-01 20:00:00,,29970,18320,27397,5920,,
2017-01-01 21:00:00,,33580,24380,32384,5220,,
2017-01-01 22:00:00,,34410,28940,53365,15930,,
2017-01-01 23:00:00,,27200,18310,20702,1560,,
2017-01-02 00:00:00,,25530,12170,14485,1510,,
2017-01-02 01:00:00,,16100,8190,9739,1010,,
2017-01-02 02:00:00,,13320,5190,6831,1070,,
2017-01-02 03:00:00,,12490,4840,6205,890,,
2017-01-02 04:00:00,,12210,4240,5528,840,,
2017-01-02 05:00:00,,12210,5650,7245,1040,,
2017-01-02 06:00:00,,12210,6570,7383,530,,
2017-01-02 07:00:00,,12210,7950,9821,1220,,
2017-01-02 08:00:00,,12210,7590,9936,1530,,
2017-01-02 09:00:00,,23030,8950,11235,1490,,
2017-01-02 10:00:00,,25530,9430,11929,1630,,
2017-01-02 11:00:00,,20260,12120,15386,2130,,
2017-01-02 12:00:00,,18870,11950,15599,2380,,
2017-01-02 13:00:00,,24140,9680,12379,1760,,
2017-01-02 14:00:00,,25530,10350,12527,1420,,
2017-01-02 15:00:00,,24700,8970,11347,1550,,
2017-01-02 16:00:00,,24420,8850,12269,2230,,
2017-01-02 17:00:00,,27200,8150,10205,1340,,
2017-01-02 18:00:00,,27750,6800,9069,1480,,
2017-01-02 19:00:00,,28580,6890,9083,1430,,
2017-01-02 20:00:00,,28860,5700,7310,1050,,
2017-01-02 21:00:00,,32470,5000,6733,1130,,
2017-01-02 22:00:00,,33300,4800,6471,1090,,
2017-01-02 23:00:00,,31360,4320,5071,490,,
2017-01-03 00:00:00,,31080,2680,4183,980,,
2017-01-03 01:00:00,,24140,2900,4219,860,,
2017-01-03 02:00:00,,22200,3320,4761,940,,
2017-01-03 03:00:00,,19430,2810,4129,860,,
2017-01-03 04:00:00,,18870,2230,4116,1230,,
2017-01-03 05:00:00,,21370,3480,4691,790,,
2017-01-03 06:00:00,,22200,6960,8555,1040,,
2017-01-03 07:00:00,,32190,11970,13595,1060,,
2017-01-03 08:00:00,,34410,19830,22406,1680,,
2017-01-03 09:00:00,,39960,20170,26349,4030,,
2017-01-03 10:00:00,,41070,18750,25987,4720,,
2017-01-03 11:00:00,,35520,14680,20338,3690,,
2017-01-03 12:00:00,,34410,9350,13015,2390,,
2017-01-03 13:00:00,,43010,16330,20071,2440,,
2017-01-03 14:00:00,,45510,9110,12238,2040,,
2017-01-03 15:00:00,,37190,8980,11357,1550,,
2017-01-03 16:00:00,,35520,11320,14479,2060,,
2017-01-03 17:00:00,,46340,20370,22547,1420,,
2017-01-03 18:00:00,,48840,24700,27813,2030,,
2017-01-03 19:00:00,,50510,23580,25972,1560,,
2017-01-03 20:00:00,,51060,18000,20944,1920,,
2017-01-03 21:00:00,,51060,13210,15311,1370,,
2017-01-03 22:00:00,,51060,11830,14498,1740,,
2017-01-03 23:00:00,,46620,9820,11553,1130,,
2017-01-04 00:00:00,410,45510,10280,11967,1100,,
2017-01-04 01:00:00,390,32750,9650,12977,2170,,
2017-01-04 02:00:00,380,28860,7570,10131,1670,,
2017-01-04 03:00:00,430,28030,6940,8703,1150,,
2017-01-04 04:00:00,530,27750,5690,7285,1040,,
2017-01-04 05:00:00,460,24980,5000,6457,950,,
2017-01-04 06:00:00,490,24420,10120,13417,2150,,
2017-01-04 07:00:00,480,23590,13090,17475,2860,,
2017-01-04 08:00:00,700,23310,24070,42914,12290,,
2017-01-04 09:00:00,750,24980,20280,40780,13370,,
2017-01-04 10:00:00,690,25530,22750,41456,12200,,
2017-01-04 11:00:00,670,27200,16420,27690,7350,,
2017-01-04 12:00:00,360,27750,12820,19367,4270,,
2017-01-04 13:00:00,400,34690,13720,19761,3940,,
2017-01-04 14:00:00,850,36630,12200,17459,3430,,
2017-01-04 15:00:00,360,35520,15420,21185,3760,,
2017-01-04 16:00:00,530,35520,16430,21720,3450,,
2017-01-04 17:00:00,290,40790,24480,31472,4560,,
2017-01-04 18:00:00,480,42180,,,,,
2017-01-04 19:00:00,630,44120,48210,74276,17000,,
2017-01-04 20:00:00,580,44400,23550,30833,4750,,
2017-01-04 21:00:00,490,31640,15000,17469,1610,,
2017-01-04 22:00:00,490,28860,18120,21095,1940,,
2017-01-04 23:00:00,640,24420,21100,23783,1750,,
2017-01-05 00:00:00,410,23310,35180,47630,8120,,
2017-01-05 01:00:00,430,17210,27050,30331,2140,,
2017-01-05 02:00:00,460,15540,17090,17427,220,,
2017-01-05 03:00:00,320,14710,,,,,
2017-01-05 04:00:00,380,14430,,,,,
2017-01-05 05:00:00,390,9710,,,,,
2017-01-05 06:00:00,470,8880,,,,,
2017-01-05 07:00:00,430,9710,,,,,
2017-01-05 08:00:00,470,9990,,,,,
2017-01-05 09:00:00,500,6380,,,,,
2017-01-05 10:00:00,650,5550,,,,,
2017-01-05 11:00:00,660,5550,,,,,
2017-01-05 12:00:00,130,5550,,,,,
2017-01-05 13:00:00,80,8880,,,,,
2017-01-05 14:00:00,100,9990,,,,,
2017-01-05 15:00:00,160,11100,,,,,
2017-01-05 16:00:00,150,11100,,,,,
2017-01-05 17:00:00,80,21920,,,,,
2017-01-05 18:00:00,60,24420,,,,,
2017-01-05 19:00:00,100,21650,,,,,
2017-01-05 20:00:00,250,21090,,,,,
2017-01-05 21:00:00,280,13880,,,,,
2017-01-05 22:00:00,240,12210,,,,,
2017-01-05 23:00:00,350,9440,,,,,
2017-01-06 00:00:00,750,8880,,,,,
2017-01-06 01:00:00,740,6380,,,,,
2017-01-06 02:00:00,700,5550,,,,,
2017-01-06 03:00:00,960,3610,,,,,
2017-01-06 04:00:00,730,3330,,,,,
2017-01-06 05:00:00,630,3330,,,,,
2017-01-06 06:00:00,810,3330,,,,,
2017-01-06 07:00:00,730,2220,,,,,
2017-01-06 08:00:00,690,2220,,,,,
2017-01-06 09:00:00,790,4160,,,,,
2017-01-06 10:00:00,650,4440,,,,,
2017-01-06 11:00:00,860,8050,,,,,
2017-01-06 12:00:00,-60,8880,,,,,
2017-01-06 13:00:00,-30,8880,,,,,
2017-01-06 14:00:00,140,8880,,,,,
2017-01-06 15:00:00,130,6110,,,,,
2017-01-06 16:00:00,450,5550,,,,,
2017-01-06 17:00:00,260,13600,,,,,
2017-01-06 18:00:00,200,15540,,,,,
2017-01-06 19:00:00,270,22760,,,,,
2017-01-06 20:00:00,580,24420,,,,,
2017-01-06 21:00:00,1430,28860,,,,,
2017-01-06 22:00:00,980,29970,,,,,
2017-01-06 23:00:00,1290,21920,,,,,
2017-01-07 00:00:00,790,19980,8210,8241,20,,
2017-01-07 01:00:00,980,14710,6180,7974,1170,,
2017-01-07 02:00:00,320,13320,11280,12706,930,,
2017-01-07 03:00:00,550,14990,10520,12483,1280,,
2017-01-07 04:00:00,880,15540,10660,12025,890,,
2017-01-07 05:00:00,880,14430,9640,11189,1010,,
2017-01-07 06:00:00,860,14430,8950,10207,820,,
2017-01-07 07:00:00,720,16370,9010,10467,950,,
2017-01-07 08:00:00,630,16650,8400,11221,1840,,
2017-01-07 09:00:00,560,15820,7300,11317,2620,,
2017-01-07 10:00:00,900,15540,6600,10771,2720,,
2017-01-07 11:00:00,910,18320,6440,12542,3980,,
2017-01-07 12:00:00,260,18870,6530,13000,4220,,
2017-01-07 13:00:00,190,14430,7300,12222,3210,,
2017-01-07 14:00:00,-10,13320,9030,15715,4360,,
2017-01-07 15:00:00,-130,11380,7070,11011,2570,,
2017-01-07 16:00:00,,11100,9730,14161,2890,,
2017-01-07 17:00:00,,14710,14190,18100,2550,,
2017-01-07 18:00:00,,15540,24910,32990,5270,,
2017-01-07 19:00:00,,29970,44870,74355,19230,,
2017-01-07 20:00:00,580,33300,57440,119676,40590,,
2017-01-07 21:00:00,1090,50510,52710,119300,43430,,
2017-01-07 22:00:00,2260,54390,47380,132538,55540,,
2017-01-07 23:00:00,2250,49950,40720,82655,27350,,
2017-01-08 00:00:00,1030,48840,20750,26270,3600,,
2017-01-08 01:00:00,1490,41070,16960,18509,1010,,
2017-01-08 02:00:00,1560,38850,17690,18993,850,,
2017-01-08 03:00:00,1750,32470,15030,16517,970,,
2017-01-08 04:00:00,1680,31080,12940,14535,1040,,
2017-01-08 05:00:00,1510,30250,10370,11750,900,,
2017-01-08 06:00:00,1510,29970,9170,10627,950,,
2017-01-08 07:00:00,1310,30800,8860,10777,1250,,
2017-01-08 08:00:00,1060,31080,7040,8742,1110,,
2017-01-08 09:00:00,960,22760,6560,9918,2190,,
2017-01-08 10:00:00,1070,21090,5720,10151,2890,,
2017-01-08 11:00:00,1390,21920,4940,8252,2160,,
2017-01-08 12:00:00,460,22200,5010,8169,2060,,
2017-01-08 13:00:00,,15260,5580,8831,2120,,
2017-01-08 14:00:00,,13320,5160,7690,1650,,
2017-01-08 15:00:00,,18040,7410,9771,1540,,
2017-01-08 16:00:00,,18870,9330,13409,2660,,
2017-01-08 17:00:00,,17760,16690,19695,1960,,
2017-01-08 18:00:00,,17760,26530,36174,6290,,
2017-01-08 19:00:00,,27750,48200,63686,10100,,
2017-01-08 20:00:00,,29970,43120,52611,6190,,
2017-01-08 21:00:00,,36350,45750,54842,5930,,
2017-01-08 22:00:00,,37740,48090,77253,19020,,
2017-01-08 23:00:00,,47730,44280,84314,26110,,
2017-01-09 00:00:00,,49950,45580,98018,34200,,
2017-01-09 01:00:00,,57720,41860,82829,26720,,
