Data,PartÌculas < 10 µm,Ozono,DiÛxido de Azoto,”xidos de Azoto,MonÛxido de Azoto,PartÌculas < 2.5 µm,,
(Hora UTC),µg/m3,µg/m3,µg/m3,µg/m3,µg/m3,µg/m3,,
2017-01-01 00:00:00,27750,31820,11190,12430,810,22750,,
2017-01-01 01:00:00,27750,28670,11760,12910,750,23000,,
2017-01-01 02:00:00,27750,27940,11230,12570,810,23000,,
2017-01-01 03:00:00,24140,28450,10180,11330,750,18000,,
2017-01-01 04:00:00,23310,28590,9370,10420,690,17000,,
2017-01-01 05:00:00,23310,30050,8370,9320,650,17000,,
2017-01-01 06:00:00,16650,31760,7410,8370,650,16250,,
2017-01-01 07:00:00,15540,31920,6790,7650,620,16000,,
2017-01-01 08:00:00,15540,33090,5740,6930,750,16000,,
2017-01-01 09:00:00,9440,33690,5070,6600,970,9500,,
2017-01-01 10:00:00,7770,33350,4970,6740,1120,8000,,
2017-01-01 11:00:00,7770,32510,5110,7170,1310,8000,,
2017-01-01 12:00:00,6940,35030,5210,7500,1470,,,
2017-01-01 13:00:00,6660,39360,5310,7460,1340,,,
2017-01-01 14:00:00,6660,45610,5640,7410,1150,,,
2017-01-01 15:00:00,15820,50050,6210,7460,810,10000,,
2017-01-01 16:00:00,17760,36740,7500,8840,900,10000,,
2017-01-01 17:00:00,17760,31850,8840,10040,780,10000,,
2017-01-01 18:00:00,14990,31540,7790,8990,780,11750,,
2017-01-01 19:00:00,14430,29400,7700,9030,870,12000,,
2017-01-01 20:00:00,14430,28320,7360,8600,810,12000,,
2017-01-01 21:00:00,17210,28350,7460,8750,780,12000,,
2017-01-01 22:00:00,17760,31580,7030,8170,750,12000,,
2017-01-01 23:00:00,17760,32900,6600,7310,500,12000,,
2017-01-02 00:00:00,17760,41190,7550,8510,650,7750,,
2017-01-02 01:00:00,17760,57160,5160,6020,560,7000,,
2017-01-02 02:00:00,17760,60590,4250,5020,530,7000,,
2017-01-02 03:00:00,14990,61240,3060,3820,470,5500,,
2017-01-02 04:00:00,14430,63970,2680,3490,560,5000,,
2017-01-02 05:00:00,14430,64020,2530,3300,530,5000,,
2017-01-02 06:00:00,13600,62580,3440,4210,560,9250,,
2017-01-02 07:00:00,13320,63100,5540,7930,1560,10000,,
2017-01-02 08:00:00,13320,64970,4970,6640,1120,10000,,
2017-01-02 09:00:00,13320,64940,4920,6410,900,7500,,
2017-01-02 10:00:00,13320,64790,4780,6210,940,7000,,
2017-01-02 11:00:00,13320,62800,4830,6020,810,7000,,
2017-01-02 12:00:00,18870,59130,5880,7700,1180,12000,,
2017-01-02 13:00:00,19980,61740,5160,6170,750,13000,,
2017-01-02 14:00:00,19980,64810,5690,7360,1090,13000,,
2017-01-02 15:00:00,21920,65210,6600,11570,3240,12000,,
2017-01-02 16:00:00,22200,66360,7840,11330,2240,12000,,
2017-01-02 17:00:00,22200,67010,5980,8560,1680,12000,,
2017-01-02 18:00:00,26920,67250,6020,7310,840,14500,,
2017-01-02 19:00:00,27750,65780,5450,6550,690,15000,,
2017-01-02 20:00:00,27750,64010,5780,6600,530,15000,,
2017-01-02 21:00:00,20540,65880,4730,5540,530,12750,,
2017-01-02 22:00:00,18870,66530,3870,4730,560,12000,,
2017-01-02 23:00:00,18870,66710,3540,4210,440,12000,,
2017-01-03 00:00:00,17760,63520,3300,4210,560,7750,,
2017-01-03 01:00:00,17760,62240,3350,4300,590,7000,,
2017-01-03 02:00:00,17760,62410,2870,3780,530,7000,,
2017-01-03 03:00:00,11100,61180,2580,3490,560,7750,,
2017-01-03 04:00:00,9990,60090,2820,3730,590,8000,,
2017-01-03 05:00:00,9990,59310,3630,5640,1340,8000,,
2017-01-03 06:00:00,7220,54900,3150,4020,560,7250,,
2017-01-03 07:00:00,6660,50180,5310,6450,720,7000,,
2017-01-03 08:00:00,6660,47090,6020,7170,720,7000,,
2017-01-03 09:00:00,12210,44820,6880,8270,870,6250,,
2017-01-03 10:00:00,13320,43950,7410,9460,1340,6000,,
2017-01-03 11:00:00,13320,41640,8270,10520,1530,6000,,
2017-01-03 12:00:00,10550,39600,8800,10990,1470,4250,,
2017-01-03 13:00:00,9990,39170,8220,9750,1000,4000,,
2017-01-03 14:00:00,9990,37180,7700,10850,2000,4000,,
2017-01-03 15:00:00,13600,37630,7360,9230,1250,8250,,
2017-01-03 16:00:00,14430,35640,8270,9660,940,9000,,
2017-01-03 17:00:00,14430,33560,8560,10950,1500,9000,,
2017-01-03 18:00:00,17210,30040,9940,12240,1500,9000,,
2017-01-03 19:00:00,17760,26240,10560,11900,900,9000,,
2017-01-03 20:00:00,17760,27260,9180,10180,690,9000,,
2017-01-03 21:00:00,15820,28870,7550,8750,780,13000,,
2017-01-03 22:00:00,15540,28720,6840,7890,690,14000,,
2017-01-03 23:00:00,15540,28250,7600,8560,650,14000,,
2017-01-04 00:00:00,12770,28930,6880,7840,650,9750,,
2017-01-04 01:00:00,12210,28940,5980,6980,650,9000,,
2017-01-04 02:00:00,12210,27930,5350,6260,560,9000,,
2017-01-04 03:00:00,12210,28790,4680,5640,590,6500,,
2017-01-04 04:00:00,12210,29840,4250,5260,720,6000,,
2017-01-04 05:00:00,12210,29980,4060,5070,620,6000,,
2017-01-04 06:00:00,9440,27370,4590,5450,590,7750,,
2017-01-04 07:00:00,8880,28870,6980,9420,1590,8000,,
2017-01-04 08:00:00,8880,34170,9610,18070,5490,8000,,
2017-01-04 09:00:00,14150,31170,11900,25050,8600,8000,,
2017-01-04 10:00:00,15540,36610,10520,14010,2340,8000,,
2017-01-04 11:00:00,15540,39960,7500,11760,2770,8000,,
2017-01-04 12:00:00,21090,43700,6930,10610,2400,8000,,
2017-01-04 13:00:00,22200,40240,7030,11040,2650,8000,,
2017-01-04 14:00:00,22200,41940,6550,9180,1780,8000,,
2017-01-04 15:00:00,28580,45750,7120,9560,1560,13000,,
2017-01-04 16:00:00,29970,45720,10470,13530,2000,14000,,
2017-01-04 17:00:00,29970,39110,15680,22470,4360,14000,,
2017-01-04 18:00:00,37190,37920,20360,30160,6390,19000,,
2017-01-04 19:00:00,38850,45290,11570,12950,840,20000,,
2017-01-04 20:00:00,38850,47090,9700,10800,720,20000,,
2017-01-04 21:00:00,34410,38850,9990,10990,720,18250,,
2017-01-04 22:00:00,33300,32980,8030,9130,750,18000,,
2017-01-04 23:00:00,33300,32280,6740,7840,720,18000,,
2017-01-05 00:00:00,20260,29030,5450,6450,620,11250,,
2017-01-05 01:00:00,17760,33090,4920,5830,560,10000,,
2017-01-05 02:00:00,17760,33100,4490,5450,650,10000,,
2017-01-05 03:00:00,13320,30210,4300,5310,650,6500,,
2017-01-05 04:00:00,12210,30870,4970,6020,690,6000,,
2017-01-05 05:00:00,12210,34640,5500,8270,1810,6000,,
2017-01-05 06:00:00,9440,34280,3970,5110,780,5000,,
2017-01-05 07:00:00,8880,25190,12430,15920,2280,5000,,
2017-01-05 08:00:00,8880,27120,15340,19260,2490,5000,,
2017-01-05 09:00:00,24980,33590,10900,14820,2530,8000,,
2017-01-05 10:00:00,28860,46870,6070,8410,1530,9000,,
2017-01-05 11:00:00,28860,52690,4830,6880,1340,9000,,
2017-01-05 12:00:00,39130,52020,4540,6600,1310,11500,,
2017-01-05 13:00:00,41070,56950,4450,5980,1000,12000,,
2017-01-05 14:00:00,41070,56130,5690,8030,1530,12000,,
2017-01-05 15:00:00,46620,50670,6410,8220,1180,21250,,
2017-01-05 16:00:00,47730,51590,6210,7700,940,23000,,
2017-01-05 17:00:00,47730,46110,10560,15300,3090,23000,,
2017-01-05 18:00:00,44120,28810,22610,28350,3710,23750,,
2017-01-05 19:00:00,43290,11600,17060,19310,1430,24000,,
2017-01-05 20:00:00,43290,5610,18070,25190,4650,24000,,
2017-01-05 21:00:00,30800,11310,14960,20790,3800,20750,,
2017-01-05 22:00:00,27750,12710,13620,15730,1370,20000,,
2017-01-05 23:00:00,27750,16220,12330,13720,840,20000,,
2017-01-06 00:00:00,18590,19590,8320,9320,650,14250,,
2017-01-06 01:00:00,16650,26670,5740,6740,690,13000,,
