Data,DiÛxido de Enxofre,PartÌculas < 10 µm,Ozono,DiÛxido de Azoto,”xidos de Azoto,MonÛxido de Carbono,MonÛxido de Azoto,PartÌculas < 2.5 µm,,
(Hora UTC),µg/m3,µg/m3,µg/m3,µg/m3,µg/m3,mg/m3,µg/m3,µg/m3,,
2017-01-01 00:00:00,530,43570,20750,25210,30620,363,3530,29500,,
2017-01-01 01:00:00,120,34410,12230,37950,48540,374,6900,23000,,
2017-01-01 02:00:00,130,33580,9410,41890,59370,351,11400,22500,,
2017-01-01 03:00:00,0,23310,17120,29200,37040,328,5110,17000,,
2017-01-01 04:00:00,0,23030,24460,13240,16260,276,1970,16750,,
2017-01-01 05:00:00,0,15540,25320,11570,14160,249,1690,11000,,
2017-01-01 06:00:00,0,15260,24540,12180,13950,238,1160,10750,,
2017-01-01 07:00:00,0,11100,22970,12130,14910,235,1810,8000,,
2017-01-01 08:00:00,0,11380,23770,10940,16570,235,3670,8250,,
2017-01-01 09:00:00,0,14430,23380,10840,17750,232,4500,12000,,
2017-01-01 10:00:00,0,14150,23820,10320,18170,235,5120,11750,,
2017-01-01 11:00:00,0,12210,25290,10530,17850,232,4770,10000,,
2017-01-01 12:00:00,950,11930,28610,11010,19010,220,5220,9500,,
2017-01-01 13:00:00,1140,7770,25760,13760,23090,235,6090,5000,,
2017-01-01 14:00:00,1260,8600,29210,16440,23780,238,4790,5000,,
2017-01-01 15:00:00,1140,15540,29930,15160,20900,238,3750,6000,,
2017-01-01 16:00:00,1230,15540,27620,15690,20620,252,3210,6250,,
2017-01-01 17:00:00,1030,14430,20650,23070,29000,281,3870,11000,,
2017-01-01 18:00:00,1000,14710,19520,25620,33040,299,4840,10750,,
2017-01-01 19:00:00,1030,16650,13580,33210,45440,336,7980,6000,,
2017-01-01 20:00:00,1330,16930,11330,28350,37790,339,6160,6250,,
2017-01-01 21:00:00,1020,18870,6530,34340,68050,426,21990,8000,,
2017-01-01 22:00:00,1760,18870,3710,44820,108090,534,41270,8500,,
2017-01-01 23:00:00,1670,17760,3360,43350,82220,429,25350,13000,,
2017-01-02 00:00:00,270,18040,15480,32870,44750,345,7750,12750,,
2017-01-02 01:00:00,0,21090,41360,14700,17230,241,1650,11000,,
2017-01-02 02:00:00,0,20260,50910,9000,11570,209,1680,10500,,
2017-01-02 03:00:00,30,11100,54220,7260,9230,197,1290,5000,,
2017-01-02 04:00:00,0,11100,52120,6510,7600,189,720,5000,,
2017-01-02 05:00:00,0,11100,50670,7740,10080,191,1530,4000,,
2017-01-02 06:00:00,10,11100,51480,9630,12480,194,1860,3750,,
2017-01-02 07:00:00,80,8880,47950,14620,18590,186,2590,2000,,
2017-01-02 08:00:00,10,9710,42830,19160,25000,215,3810,2750,,
2017-01-02 09:00:00,110,17760,44420,22330,28020,209,3710,10000,,
2017-01-02 10:00:00,0,17760,46410,20390,26270,218,3830,9750,,
2017-01-02 11:00:00,0,17760,47230,22370,28250,220,3830,5000,,
2017-01-02 12:00:00,100,17760,48860,21070,26710,226,3680,5500,,
2017-01-02 13:00:00,110,16650,45880,24870,30710,241,3810,10000,,
2017-01-02 14:00:00,200,16930,45490,24720,31100,241,4160,10000,,
2017-01-02 15:00:00,90,21090,41030,30890,39000,249,5290,11000,,
2017-01-02 16:00:00,210,21090,42760,33500,41500,261,5220,11250,,
2017-01-02 17:00:00,250,23310,56920,21300,27300,247,3910,16000,,
2017-01-02 18:00:00,30,23310,59850,19370,23020,215,2380,16000,,
2017-01-02 19:00:00,300,24420,61900,17190,20050,200,1870,15000,,
2017-01-02 20:00:00,380,23870,61690,16430,19350,209,1910,14500,,
2017-01-02 21:00:00,330,17760,61560,15100,17600,200,1630,10000,,
2017-01-02 22:00:00,150,18870,56380,16220,18890,226,1750,11000,,
2017-01-02 23:00:00,340,31080,58850,15770,19000,209,2110,21000,,
2017-01-03 00:00:00,700,30530,66370,10030,12020,183,1300,20250,,
2017-01-03 01:00:00,390,24420,60170,11120,13250,189,1390,12000,,
2017-01-03 02:00:00,650,24140,54110,7990,9740,191,1140,11750,,
2017-01-03 03:00:00,980,19980,55380,7220,9650,313,1580,11000,,
2017-01-03 04:00:00,1290,19980,53560,9070,10890,189,1190,11000,,
2017-01-03 05:00:00,1040,22200,54300,16230,18740,183,1640,12000,,
2017-01-03 06:00:00,360,22760,54020,18430,21230,183,1820,12000,,
2017-01-03 07:00:00,1220,27750,35130,41100,46720,218,3670,12000,,
2017-01-03 08:00:00,1420,28030,10410,73060,115270,299,27530,12000,,
2017-01-03 09:00:00,1410,32190,9970,66510,124440,348,37790,14000,,
2017-01-03 10:00:00,870,32470,18110,43290,69320,267,16980,14000,,
2017-01-03 11:00:00,1110,34410,21700,36690,55720,252,12410,16000,,
2017-01-03 12:00:00,770,35240,27920,34060,53870,270,12930,16500,,
2017-01-03 13:00:00,870,45510,54870,21000,29860,235,5780,22000,,
2017-01-03 14:00:00,970,45790,53110,21020,26910,209,3840,22000,,
2017-01-03 15:00:00,510,48840,49960,25170,32760,206,4950,22000,,
2017-01-03 16:00:00,820,49400,49570,29470,35970,232,4240,22250,,
2017-01-03 17:00:00,780,57720,30670,48670,68930,476,13210,30000,,
2017-01-03 18:00:00,1650,57440,4560,77860,125970,499,31380,29500,,
2017-01-03 19:00:00,840,53280,8630,68470,87800,426,12610,23000,,
2017-01-03 20:00:00,1730,53000,1580,85230,231800,624,95590,23500,,
2017-01-03 21:00:00,1620,52170,1330,79910,248440,661,109910,29000,,
2017-01-03 22:00:00,1690,51620,1810,62730,152860,653,58780,28250,,
2017-01-03 23:00:00,830,45510,4620,39420,62000,322,14720,19000,,
2017-01-04 00:00:00,2850,44680,4890,36680,53970,310,11280,18750,,
2017-01-04 01:00:00,2880,34410,5590,31760,45910,305,9220,17000,,
2017-01-04 02:00:00,2850,34130,9530,23820,33060,284,6030,16750,,
2017-01-04 03:00:00,2310,29970,14730,15040,20000,273,3240,13000,,
2017-01-04 04:00:00,2740,29970,11180,19670,28760,261,5930,12750,,
2017-01-04 05:00:00,2200,27750,19120,12080,16580,252,2930,8000,,
2017-01-04 06:00:00,2350,26920,20540,15190,19780,241,2990,7750,,
2017-01-04 07:00:00,2580,16650,16690,24220,34770,232,6880,4000,,
2017-01-04 08:00:00,2090,17210,7860,39630,73490,264,22080,4500,,
2017-01-04 09:00:00,2440,25530,10980,34320,62710,273,18510,10000,,
2017-01-04 10:00:00,2710,25530,14840,25990,47540,247,14050,10250,,
2017-01-04 11:00:00,2070,25530,13500,28000,61270,264,21700,14000,,
2017-01-04 12:00:00,690,26360,16680,34280,62570,267,18450,14250,,
2017-01-04 13:00:00,1340,34410,16160,39620,75830,287,23620,18000,,
2017-01-04 14:00:00,560,34690,24960,25360,42430,249,11130,18000,,
2017-01-04 15:00:00,580,36630,16030,39920,71300,273,20470,20000,,
2017-01-04 16:00:00,510,36630,15920,40340,63430,278,15060,20000,,
2017-01-04 17:00:00,900,35520,8030,53400,88460,342,22870,22000,,
2017-01-04 18:00:00,910,35800,5030,50970,90200,345,25580,21500,,
2017-01-04 19:00:00,900,39960,7590,49330,81320,322,20860,17000,,
2017-01-04 20:00:00,890,39960,14300,40680,48870,278,5340,17000,,
2017-01-04 21:00:00,810,39960,5440,53160,68130,336,9760,15000,,
2017-01-04 22:00:00,770,39410,3870,53070,110060,522,37160,15250,,
2017-01-04 23:00:00,1250,33300,1640,51130,155780,580,68250,16000,,
2017-01-05 00:00:00,1780,32750,1460,44400,118900,644,48590,15750,,
2017-01-05 01:00:00,2450,25530,1840,45090,124990,560,52110,13000,,
2017-01-05 02:00:00,2000,24980,6740,40960,58040,310,11140,12750,,
2017-01-05 03:00:00,1620,17760,5070,39180,56630,325,11380,10000,,
2017-01-05 04:00:00,1510,17480,8950,34070,41900,310,5110,10000,,
2017-01-05 05:00:00,1610,11100,12230,32180,41200,313,5880,6000,,
2017-01-05 06:00:00,1790,11100,2820,36530,67600,455,20260,6000,,
2017-01-05 07:00:00,1420,12210,8930,25860,39170,363,8680,4000,,
2017-01-05 08:00:00,790,11930,10650,26610,48130,354,14030,4250,,
2017-01-05 09:00:00,950,9990,11640,25200,46250,357,13730,8000,,
2017-01-05 10:00:00,1030,9990,16740,22520,38610,319,10490,7750,,
2017-01-05 11:00:00,1650,8880,11900,30430,60810,336,19810,5000,,
2017-01-05 12:00:00,0,9440,14990,35370,70450,371,22870,5750,,
2017-01-05 13:00:00,0,17760,17720,34010,66030,455,20880,13000,,
2017-01-05 14:00:00,0,18040,23960,24930,40150,336,9930,13000,,
2017-01-05 15:00:00,0,21090,27750,21260,33570,319,8030,12000,,
2017-01-05 16:00:00,0,21370,24230,25540,36560,310,7180,12000,,
2017-01-05 17:00:00,0,25530,13030,40460,64610,360,15750,15000,,
2017-01-05 18:00:00,0,26090,4880,45910,85190,455,25620,15000,,
2017-01-05 19:00:00,0,31080,1520,55840,134740,603,51450,15000,,
2017-01-05 20:00:00,0,30250,1630,55060,135360,542,52370,15000,,
2017-01-05 21:00:00,0,23310,1290,50810,106980,490,36630,15000,,
2017-01-05 22:00:00,0,23030,5310,41090,83270,397,27510,14500,,
2017-01-05 23:00:00,0,18870,2110,42280,67110,357,16190,9000,,
2017-01-06 00:00:00,300,18320,7540,29980,41350,339,7420,8750,,
2017-01-06 01:00:00,440,13320,11680,23050,27630,322,2990,6000,,
2017-01-06 02:00:00,470,13040,12530,20460,24520,328,2650,6000,,
2017-01-06 03:00:00,60,11100,12010,21660,27160,336,3580,5000,,
2017-01-06 04:00:00,370,11100,14430,18430,24740,299,4120,5000,,
2017-01-06 05:00:00,440,12210,24590,15250,21250,252,3920,3000,,
2017-01-06 06:00:00,100,12210,23870,14580,21100,203,4250,3000,,
2017-01-06 07:00:00,200,11100,20810,22160,33850,232,7620,2000,,
2017-01-06 08:00:00,280,11100,12570,29160,55890,302,17430,2500,,
2017-01-06 09:00:00,300,12210,16140,24310,51240,284,17560,9000,,
2017-01-06 10:00:00,490,12490,,18740,37040,261,11940,9250,,
2017-01-06 11:00:00,1030,14430,20450,,433560,249,,14000,,
2017-01-06 12:00:00,0,14150,25310,13960,25710,235,7670,13500,,
2017-01-06 13:00:00,160,8880,27860,12120,22670,235,6870,9000,,
2017-01-06 14:00:00,,9160,30080,13850,27250,252,8740,8750,,
2017-01-06 15:00:00,90,11100,31850,18140,30550,238,8090,7000,,
2017-01-06 16:00:00,0,12770,21590,34890,56990,293,14420,7500,,
2017-01-06 17:00:00,160,43290,3910,73210,317990,954,159640,21000,,
