Data,PartÌculas < 10 µm,Ozono,DiÛxido de Azoto,”xidos de Azoto,MonÛxido de Azoto,,
(Hora UTC),µg/m3,µg/m3,µg/m3,µg/m3,µg/m3,,
2017-01-01 00:00:00,38570,9850,39290,43780,2960,,
2017-01-01 01:00:00,37740,8850,39480,45740,4050,,
2017-01-01 02:00:00,34130,6100,42540,51910,6110,,
2017-01-01 03:00:00,23310,4950,36810,43070,4050,,
2017-01-01 04:00:00,19980,5100,34610,38810,2740,,
2017-01-01 05:00:00,12210,4050,36850,42300,3550,,
2017-01-01 06:00:00,11660,2600,33220,41010,5080,,
2017-01-01 07:00:00,9990,3000,31640,37330,3710,,
2017-01-01 08:00:00,11660,6400,27440,34130,4330,,
2017-01-01 09:00:00,15540,19750,14340,18120,2430,,
2017-01-01 10:00:00,14990,25800,11760,15870,2710,,
2017-01-01 11:00:00,13320,31700,11760,15630,2530,,
2017-01-01 12:00:00,15260,27250,15390,21940,4270,,
2017-01-01 13:00:00,19980,28450,16730,22850,4020,,
2017-01-01 14:00:00,18590,32950,17300,20890,2370,,
2017-01-01 15:00:00,14430,34700,15100,17640,1650,,
2017-01-01 16:00:00,15540,24100,20600,23610,1960,,
2017-01-01 17:00:00,17760,9850,38050,43350,3460,,
2017-01-01 18:00:00,16930,11250,36380,38810,1560,,
2017-01-01 19:00:00,15540,10300,34560,37430,1900,,
2017-01-01 20:00:00,16930,15700,26390,27680,840,,
2017-01-01 21:00:00,21090,16450,20410,21270,530,,
2017-01-01 22:00:00,22760,22300,17640,18120,340,,
2017-01-01 23:00:00,26640,26650,21540,21990,250,,
2017-01-02 00:00:00,25250,26550,,,,,
2017-01-02 01:00:00,22200,42150,,,,,
2017-01-02 02:00:00,19700,72100,,,,,
2017-01-02 03:00:00,13320,73800,,,,,
2017-01-02 04:00:00,11930,65000,,,,,
2017-01-02 05:00:00,7770,55550,,,,,
2017-01-02 06:00:00,6940,53200,,,,,
2017-01-02 07:00:00,4440,55900,,,,,
2017-01-02 08:00:00,9710,57050,,,,,
2017-01-02 09:00:00,22200,54400,,,,,
2017-01-02 10:00:00,21370,65800,,,,,
2017-01-02 11:00:00,18870,67350,,,,,
2017-01-02 12:00:00,20260,75650,,,,,
2017-01-02 13:00:00,23310,75650,,,,,
2017-01-02 14:00:00,25810,76700,,,,,
2017-01-02 15:00:00,33300,75700,,,,,
2017-01-02 16:00:00,32190,71450,,,,,
2017-01-02 17:00:00,28860,75400,,,,,
2017-01-02 18:00:00,30800,78200,,,,,
2017-01-02 19:00:00,35520,74400,,,,,
2017-01-02 20:00:00,36350,73650,,,,,
2017-01-02 21:00:00,38850,78800,,,,,
2017-01-02 22:00:00,39680,77350,,,,,
2017-01-02 23:00:00,41070,77850,,,,,
2017-01-03 00:00:00,41350,76950,,,,,
2017-01-03 01:00:00,42180,78900,,,,,
2017-01-03 02:00:00,40790,79050,,,,,
2017-01-03 03:00:00,36630,79200,,,,,
2017-01-03 04:00:00,35520,76050,,,,,
2017-01-03 05:00:00,32190,74450,,,,,
2017-01-03 06:00:00,33580,74050,,,,,
2017-01-03 07:00:00,36630,70050,,,,,
2017-01-03 08:00:00,40240,69650,,,,,
2017-01-03 09:00:00,48840,68500,,,,,
2017-01-03 10:00:00,45510,71400,,,,,
2017-01-03 11:00:00,37740,71600,,,,,
2017-01-03 12:00:00,39680,76600,,,,,
2017-01-03 13:00:00,44400,73450,,,,,
2017-01-03 14:00:00,46620,69900,,,,,
2017-01-03 15:00:00,53280,68700,,,,,
2017-01-03 16:00:00,49120,62400,,,,,
2017-01-03 17:00:00,38850,66550,,,,,
2017-01-03 18:00:00,39960,62550,,,,,
2017-01-03 19:00:00,42180,65250,,,,,
2017-01-03 20:00:00,43010,70500,,,,,
2017-01-03 21:00:00,45510,70700,,,,,
2017-01-03 22:00:00,43570,69450,,,,,
2017-01-03 23:00:00,38850,71800,,,,,
2017-01-04 00:00:00,39960,65700,,,,,
2017-01-04 01:00:00,43290,64500,,,,,
2017-01-04 02:00:00,41350,57350,,,,,
2017-01-04 03:00:00,35520,39650,,,,,
2017-01-04 04:00:00,33300,39400,,,,,
2017-01-04 05:00:00,27750,36850,,,,,
2017-01-04 06:00:00,28310,22200,,,,,
2017-01-04 07:00:00,29970,10150,19840,21560,1090,,
2017-01-04 08:00:00,30800,7150,26620,35040,5460,,
2017-01-04 09:00:00,33300,3450,22040,48230,17120,,
2017-01-04 10:00:00,34410,8400,19600,38480,12310,,
2017-01-04 11:00:00,37740,16850,23520,36570,8510,,
2017-01-04 12:00:00,38020,23650,18930,26430,4930,,
2017-01-04 13:00:00,38850,37500,14340,20030,3710,,
2017-01-04 14:00:00,39130,41600,13190,16920,2400,,
2017-01-04 15:00:00,39960,40450,8940,10610,1150,,
2017-01-04 16:00:00,40240,34200,11570,13000,900,,
2017-01-04 17:00:00,41070,17250,25190,25910,500,,
2017-01-04 18:00:00,41070,6650,31450,35560,2680,,
2017-01-04 19:00:00,41070,2900,32980,38810,3830,,
2017-01-04 20:00:00,43850,1500,40490,84460,28680,,
2017-01-04 21:00:00,51060,1950,29160,74420,29520,,
2017-01-04 22:00:00,49120,1750,25620,48370,14840,,
2017-01-04 23:00:00,44400,1650,33990,49000,9820,,
2017-01-05 00:00:00,40790,1200,33220,46650,8760,,
